 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
691,ER.ATL2.png,4,8.485,0.698,4.243,218,203,135.000,2.121,2.654,0.377,0.667
692,ER.ATL2.png,1,2.828,1.000,1.414,336,203,135.000,1.000,1.000,1.000,1.000
693,ER.ATL2.png,1,2.828,1.000,1.414,350,203,135.000,1.000,1.000,1.000,1.000
694,ER.ATL2.png,1,2.828,1.000,1.414,67,204,135.000,1.000,1.000,1.000,1.000
695,ER.ATL2.png,49,65.154,0.145,17.263,116,209,169.992,8.731,2.489,0.402,0.467
696,ER.ATL2.png,1,2.828,1.000,1.414,101,205,135.000,1.000,1.000,1.000,1.000
697,ER.ATL2.png,2,4.828,1.000,2.236,103,205,116.565,1.000,2.000,0.500,1.000
698,ER.ATL2.png,3,8.485,0.524,3.162,217,205,108.435,2.000,1.567,0.638,0.600
699,ER.ATL2.png,1,2.828,1.000,1.414,226,205,135.000,1.000,1.000,1.000,1.000
700,ER.ATL2.png,1,2.828,1.000,1.414,538,205,135.000,1.000,1.000,1.000,1.000
701,ER.ATL2.png,1,2.828,1.000,1.414,547,205,135.000,1.000,1.000,1.000,1.000
702,ER.ATL2.png,1,2.828,1.000,1.414,71,206,135.000,1.000,1.000,1.000,1.000
703,ER.ATL2.png,1,2.828,1.000,1.414,74,206,135.000,1.000,1.000,1.000,1.000
704,ER.ATL2.png,24,18.971,0.838,7.211,524,211,33.690,5.657,1.175,0.851,0.828
705,ER.ATL2.png,30,39.355,0.243,11.662,532,208,149.036,7.442,1.979,0.505,0.513
706,ER.ATL2.png,8,14.728,0.463,5.385,66,208,158.199,3.000,1.853,0.540,0.667
707,ER.ATL2.png,38,61.598,0.126,14.213,101,220,50.711,10.381,1.365,0.733,0.365
708,ER.ATL2.png,1,2.828,1.000,1.414,115,207,135.000,1.000,1.000,1.000,1.000
